Identifior,FileAttachments,MediaRevisions,EmbeddedFlash,EmbeddedVideo,ImageEditing,SVGEditing,MindMapEditing,MediaSearch
MetadotWiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
LionWiki,No,No,X3,No,No,No,MainpageOurmainpageMainpage,Http__lionwiki_0o_czHomepagehttp__lionwiki_0o_cz
Oddmuse,Filenamesonly,X3,No,No,X2,No,OptionaldefaultonPageNamepagenameoptionaldefaultoffPageName1pagename1PageNametexttextpagenametexttext,Http__example_com_http__example_com_1optionaldefaultonhttp__example_com_texttext
ErfurtWiki,No,X3,X3,No,Yes,No,WikiPageWikiPageGohere,Http__erfurtwiki_sf_nethttp__erfurtwiki_sf_netGoheremariowiki_net
Telepark_wiki,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
Pier,Viahtml,Viahtml,Monospacetext1monospacetext2orviahtml,Viahtml,Viahtml,Viahtml,Viainternallinkorhtml,Viahtml
PAUX,Contents,Yes,Yes,Yes,Yes,Yes,N_A,N_A
TrikiWiki,No,No,No,Yes,No,No,VisTextPageNameVisTextcondPageNameVisTextfilefilenameVisTextdownfilename,VisTexthttp__www_timreeves_de_
SharePointWikiPlus,Yes,Yes,Yes,Yes,Yes,SPDSharePointDesignerSPD,Http__en_wikipedia_org_http__en_wikipedia_orgWikipedia,SectionSubsectionSubsubsection
Swirrl,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
JOTWiki,Underlinedformat__,Monospacecode,Delstrikedthrough_del,N_A,Subsubtext_sub,Image_jpgimage_jpgcenteredimage_jpgalignedright,N_A,N_A
WiGit,N_A,N_A,N_A,N_A,N_A,InternalLink,Externallinkhttp__externallink_com,H1_Headline
Cospire,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
WikiDoc,Underline__,Premonospace_pre,HTML,HTML,HTML,Imagefile_giffigurefile2_gifcaptiontext,HTML,HTML
KWikiKWiki,N_A,Strikethrough,N_A,N_A,Http__www_foo_com_logo_gifhttp__www_foo_com_logo_giftextuallinktoimage,HTMLorCSS,N_A,Foobarboombambopboofrawbaz
PortiliTeamWiki,No,No,No,No,No,No,Userichtexteditortoolbar,Userichtexteditortoolbar
WikiASP,SpacecharhereThisismono,ThisisStrikeThrough_,N_A,N_A,Imagehttp__wite_image_icon_jpgimagelocalicon_jpg,N_A,Indent1Indent2,TestBullets
Clearspace,Italics,Underline_,N_A,Strikethrough,X3rd,X2n,ImageURL,N_A
